Organization,Department,Designation,Functional Role
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Assistant Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Senior Statistical Officer","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Senior Statistical Officer","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Junior Statistical Officer","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Central Statistics Office (CSO)","Junior Statistical Officer","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Deputy Director General","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Director","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Senior Statistical Officer","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Sampling"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Data Quality & Validation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Research & Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Economic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Social Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Demographic Statistics"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Statistical Computing"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Data Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Data Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Policy Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Programme Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Monitoring & Evaluation"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Training & Capacity Building"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Administration"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Finance & Accounts"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","IT / Digital Systems"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Database Management"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","AI / Machine Learning"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Cyber Security"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","e-Governance"
"Ministry of Statistics & Programme Implementation (MoSPI)","National Sample Survey Office (NSSO)","Junior Statistical Officer","Learning & Development"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Statistical Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Data Analysis"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Survey Operations"
"Ministry of Statistics & Programme Implementation (MoSPI)","Programme Implementation Wing","Director","Sampling"
